      Lon      Lat    Year   Abi_alb       BES   Bet_pen   Bet_pub   Car_bet   Cor_ave   Fag_syl   Fra_exc   Jun_oxy   Lar_dec       MRS   Pic_abi   Pin_syl   Pin_hal   Pop_tre   Que_coc   Que_ile   Que_pub   Que_rob   Til_cor   Ulm_gla     C3_gr
     9.75    49.75    2004  0.000009  0.000000  0.000011  0.000054  0.000043  0.000002  0.000424  0.000050  0.000000  0.000000  0.000000  0.000327  0.000276  0.000000  0.000009  0.000000  0.000000  0.000042  0.000368  0.000017  0.000055  0.000000
     9.75    49.75    2005  0.000009  0.000000  0.000011  0.000056  0.000044  0.000002  0.000430  0.000052  0.000000  0.000000  0.000000  0.000339  0.000281  0.000000  0.000009  0.000000  0.000000  0.000043  0.000375  0.000017  0.000056  0.000000
     9.75    49.75    2006  0.000009  0.000000  0.000011  0.000057  0.000045  0.000001  0.000434  0.000053  0.000000  0.000000  0.000000  0.000348  0.000284  0.000000  0.000008  0.000000  0.000000  0.000043  0.000379  0.000016  0.000057  0.000000
     9.75    49.75    2007  0.000009  0.000000  0.000011  0.000057  0.000045  0.000001  0.000435  0.000053  0.000000  0.000000  0.000000  0.000350  0.000282  0.000000  0.000008  0.000000  0.000000  0.000043  0.000382  0.000016  0.000058  0.000000
     9.75    49.75    2008  0.000009  0.000000  0.000011  0.000058  0.000046  0.000001  0.000440  0.000054  0.000000  0.000000  0.000000  0.000356  0.000284  0.000000  0.000008  0.000000  0.000000  0.000043  0.000386  0.000016  0.000059  0.000000
     9.75    49.75    2009  0.000009  0.000000  0.000010  0.000057  0.000046  0.000000  0.000441  0.000054  0.000000  0.000000  0.000000  0.000359  0.000281  0.000000  0.000007  0.000000  0.000000  0.000043  0.000387  0.000015  0.000059  0.000000
     9.75    49.75    2010  0.000009  0.000000  0.000010  0.000058  0.000043  0.000000  0.000425  0.000048  0.000000  0.000000  0.000000  0.000368  0.000285  0.000000  0.000006  0.000000  0.000000  0.000029  0.000375  0.000015  0.000053  0.000000
     9.75    49.75    2011  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2012  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2013  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2014  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2015  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2016  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2017  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2018  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
     9.75    49.75    2019  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
