      Lon      Lat    Year  Fraction
     9.75    49.75    2072      0.85
     9.75    49.75    2073      0.86
     9.75    49.75    2074      0.87
     9.75    49.75    2075      0.88
     9.75    49.75    2076      0.89
     9.75    49.75    2077      0.89
     9.75    49.75    2078      0.89
     9.75    49.75    2079      0.91
     9.75    49.75    2080      0.91
     9.75    49.75    2081      0.91
     9.75    49.75    2082      0.93
     9.75    49.75    2083      0.93
     9.75    49.75    2084      0.95
     9.75    49.75    2085      0.95
     9.75    49.75    2086      0.96
     9.75    49.75    2087      0.96
     9.75    49.75    2088      0.97
     9.75    49.75    2089      0.97
     9.75    49.75    2090      0.98
     9.75    49.75    2091      0.99
     9.75    49.75    2092      0.99
     9.75    49.75    2093      0.99
     9.75    49.75    2094      0.99
     9.75    49.75    2095      0.99
     9.75    49.75    2096      1.00
     9.75    49.75    2097      1.00
     9.75    49.75    2098      1.00
     9.75    49.75    2099      1.00
     9.75    49.75    2100      1.00
     9.75    49.75    2101      1.00
     9.75    49.75    2102      1.00
     9.75    49.75    2103      1.00
     9.75    49.75    2104      1.00
     9.75    49.75    2105      1.00
     9.75    49.75    2106      1.00
     9.75    49.75    2107      1.00
     9.75    49.75    2108      1.00
     9.75    49.75    2109      1.00
     9.75    49.75    2110      1.00
     9.75    49.75    2111      1.00
     9.75    49.75    2112      1.00
     9.75    49.75    2113      1.00
     9.75    49.75    2114      1.00
     9.75    49.75    2115      1.00
     9.75    49.75    2116      1.00
     9.75    49.75    2117      1.00
     9.75    49.75    2118      1.00
     9.75    49.75    2119      1.00
     9.75    49.75    2120      1.00
     9.75    49.75    2121      1.00
     9.75    49.75    2122      1.00
     9.75    49.75    2123      1.00
     9.75    49.75    2124      1.00
     9.75    49.75    2125      1.00
     9.75    49.75    2126      1.00
     9.75    49.75    2127      1.00
     9.75    49.75    2128      1.00
     9.75    49.75    2129      1.00
     9.75    49.75    2130      1.00
    13.75    55.75    1980      0.00
    13.75    55.75    1981      0.00
    13.75    55.75    1982      0.00
    13.75    55.75    1983      0.00
    13.75    55.75    1984      0.00
    13.75    55.75    1985      0.00
    13.75    55.75    1986      0.00
    13.75    55.75    1987      0.00
    13.75    55.75    1988      0.00
    13.75    55.75    1989      0.00
    13.75    55.75    1990      0.00
    13.75    55.75    1991      0.00
    13.75    55.75    1992      0.00
    13.75    55.75    1993      0.00
    13.75    55.75    1994      0.00
